技能名称,来源,主方向,子域,角色,建议动作,具体建议,发布状态,能力概述（上游/项目原文节选）,流程结构（标题/步骤节选）,相互提及候选（非硬依赖）,相对资源引用,静态风险关键词（不代表已执行）,SKILL行数,依据
cirq,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Google quantum computing framework. Use when targeting Google Quantum AI hardware, designing noise-aware circuits, or running quantum characterization experiments. Best for Google hardware, noise modeling, and low-level circuit design. For IBM hardware use qiskit; for quantum ML with autodiff use pennylane; for physics simulations use qutip.",1. **Circuit Design** → 2. **Simulation** → 3. **Hardware Execution** → 4. **Circuit Optimization** → 5. **Noise Modeling** → 6. **Experiments**,"transformers, qiskit, pennylane, qutip, sympy",references/building.md; references/simulation.md; references/transformation.md; references/hardware.md; references/noise.md; references/experiments.md,"API_KEY, pip install, uv pip, parallel",386,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/cirq/SKILL.md
fluidsim,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Plan, configure, inspect, restart, and analyze bounded FluidSim computational-fluid-dynamics simulations with explicit numerical-validity and HPC safety checks. Use for FluidSim solver selection, parameter review, FFT/MPI setup, output diagnostics, or restart compatibility.","1. State equations, units or nondimensionalization, geometry, boundaries, → 2. Select a verified solver and inspect its generated default parameters. → 3. Create a strict JSON plan with explicit CPU, RAM, disk, wall-time, output-file, → 4. Run the bundled validator and resource estimator. → 5. Generate and review a dry-run script. It does nothing unless executed with an → 6. Run one tiny serial pilot. Inspect budgets, divergence/constraints, spectral",,references/installation.md; references/parameters.md; references/solvers.md; references/advanced_features.md; references/simulation_workflow.md; references/output_analysis.md,"pip install, uv pip",296,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/fluidsim/SKILL.md
geomaster,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Comprehensive geospatial science skill covering remote sensing, GIS, spatial analysis, machine learning for earth observation, and 30+ scientific domains. Supports satellite imagery processing (Sentinel, Landsat, MODIS, SAR, hyperspectral), vector and raster data operations, spatial statistics, point cloud processing, network analysis, cloud-native workflows (STAC, COG, Planetary Computer), and 8 programming languages (Python, R, Julia, JavaScript, C++, Java, Go, Rust) with 500+ code examples. U","1. **Always check CRS** before spatial operations → 2. **Use projected CRS** for area/distance calculations → 3. **Validate geometries**: `gdf = gdf[gdf.is_valid]` → 4. **Handle missing data**: `gdf['geometry'] = gdf['geometry'].fillna(None)` → 5. **Use efficient formats**: GeoPackage > Shapefile, Parquet for large data → 6. **Apply cloud masking** to optical imagery","geopandas, scikit-learn, torch-geometric, networkx, dask",references/coordinate-systems.md; references/core-libraries.md; references/remote-sensing.md; references/machine-learning.md; references/gis-software.md; references/scientific-domains.md; references/advanced-gis.md; references/big-data.md; references/industry-applications.md; references/programming-languages.md; references/data-sources.md; references/troubleshooting.md; references/code-examples.md,"pip install, uv pip, parallel",384,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/geomaster/SKILL.md
geopandas,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Guidance and local audit tools for Python workflows that directly use GeoPandas GeoSeries, GeoDataFrame, spatial operations, or vector-data I/O.","1. **Identity and provenance** — identify the source layer, stable feature key, → 2. **Geometry state** — count null, empty, invalid, mixed, Z/M, and collapsed → 3. **CRS semantics** — require CRS metadata. `set_crs()` assigns metadata; → 4. **Units and operation** — GeoPandas is planar. Geographic coordinates are → 5. **Transform quality** — inspect axis order, area of use, datum pipeline, → 6. **Topology and precision** — validate before and after repair/overlay. Pick a",,references/crs-management.md; references/data-structures.md; references/geometric-operations.md; references/spatial-analysis.md; references/data-io.md; references/visualization.md,"pip install, uv pip",267,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/geopandas/SKILL.md
matlab,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Build, review, migrate, and safely plan MATLAB or GNU Octave numerical workflows, including arrays, tabular/time data, tests, projects, graphics, MAT files, and explicit Python interoperability.","1. **Clarify target.** Record MATLAB release or Octave version, OS/architecture, → 2. **Inventory statically.** Scan `.m` files, opaque artifacts, project paths, → 3. **Choose code form.** Prefer functions with an `arguments` block for → 4. **Make semantics explicit.** Record shapes, classes, units, missing-value → 5. **Test without hidden state.** Keep fixtures synthetic, paths project-local, → 6. **Plan execution.** Generate an argv plan, review startup/path effects and",,references/octave-compatibility.md; references/executing-scripts.md; references/programming.md; references/matrices-arrays.md; references/mathematics.md; references/data-import-export.md; references/graphics-visualization.md; references/python-integration.md; assets/project_manifest_template.json; assets/reproducibility_manifest_template.json; assets/python_compatibility_r2026a.json,"parallel, credentials",291,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/matlab/SKILL.md
networkx,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Create, analyze, and visualize complex networks and graphs in Python with NetworkX. Use when working with network/graph data structures, computing graph algorithms (shortest paths, centrality, clustering), detecting communities, generating synthetic networks (random, scale-free, small-world), reading/writing graph file formats, or drawing network topologies. Common applications include social, biological, transportation, and citation networks.",1. **Create or Load Graph**: → 2. **Examine Structure**: → 3. **Analyze**: → 4. **Visualize**: → 5. **Export Results**:,"matplotlib, pdf",,"pip install, uv pip, parallel",456,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/networkx/SKILL.md
openpiv,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Particle Image Velocimetry (PIV) analysis with OpenPIV. Use when extracting velocity fields from PIV image pairs, analyzing fluid dynamics or flow visualization experiments, cross-correlating interrogation windows, validating and replacing spurious PIV vectors, or computing vorticity, strain rate, and turbulence statistics from measured velocity fields.","1. Capture an image pair (`frame_a`, `frame_b`) separated by a known time `dt`. → 2. Divide the images into interrogation windows. → 3. Cross-correlate matching windows to find peak displacement. → 4. Validate vectors (signal-to-noise, global range, local median). → 5. Replace spurious vectors with interpolated values. → 6. Scale pixel displacements to physical units.",matplotlib,,"pip install, uv pip",469,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/openpiv/SKILL.md
pennylane,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Hardware-agnostic quantum ML framework with automatic differentiation. Use when training quantum circuits via gradients, building hybrid quantum-classical models, or needing device portability across IBM/Google/Rigetti/IonQ. Best for variational algorithms (VQE, QAOA), quantum neural networks, and integration with PyTorch or JAX. For hardware-specific optimizations use qiskit (IBM) or cirq (Google); for open quantum systems use qutip.",1. **Start with simulators** - Test on `default.qubit` before deploying to hardware → 2. **Use parameter-shift for hardware** - Backpropagation only works on simulators → 3. **Choose appropriate encodings** - Match data encoding to problem structure → 4. **Initialize carefully** - Use small random values to avoid barren plateaus → 5. **Monitor gradients** - Check for vanishing gradients in deep circuits → 6. **Cache devices** - Reuse device objects to reduce initialization overhead,qiskit,,"pip install, uv pip",256,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pennylane/SKILL.md
pymatgen,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Analyze, validate, convert, and transform materials structures and computed materials data with current pymatgen APIs, including local phase diagrams, symmetry sensitivity, electronic-structure I/O, and explicitly bounded Materials Project queries.","1. State whether the object is a non-periodic `Molecule` or periodic → 2. State units. Pymatgen commonly uses Å, degrees, eV, eV/atom, amu, and → 3. State coordinate mode. `Structure` coordinates are fractional unless → 4. Inspect every parser warning. For CIF, preserve occupancy, site-merging, → 5. Report disorder/partial occupancies and oxidation-state decoration. Never → 6. Run validation before symmetry, neighbor, transformation, conversion, or",,references/core_classes.md; references/analysis_modules.md; references/io_formats.md; references/transformations_workflows.md; references/materials_project_api.md,"API_KEY, pip install, uv pip",421,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pymatgen/SKILL.md
pymoo,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Multi-objective optimization framework. NSGA-II, NSGA-III, MOEA/D, Pareto fronts, constraint handling, benchmarks (ZDT, DTLZ), for engineering design and optimization problems.","1. **Normalize objectives** when scales differ significantly → 2. **Set random seed** for reproducibility → 3. **Save history** to analyze convergence: `save_history=True` → 4. **Visualize results** to understand solution quality → 5. **Compare with true Pareto front** when available → 6. **Use appropriate termination criteria** (generations, evaluations, tolerance)",matplotlib,references/quick_start_workflows.md,"pip install, uv pip, parallel",293,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pymoo/SKILL.md
qiskit,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Build, simulate, transpile, and execute quantum circuits with Qiskit and IBM Quantum Runtime. Use for Qiskit 2.x circuits and operators, V2 Sampler or Estimator primitives, target-aware transpilation, local or noisy simulation, IBM QPU execution, Runtime sessions or batches, error mitigation, and Qiskit ecosystem packages.","1. **Map** the problem to a circuit and, for Estimator, one or more observables. → 2. **Optimize** the parameterized circuit once for the selected backend. → 3. **Apply the layout** to every observable. → 4. **Execute** ISA circuits through a V2 primitive using Primitive Unified Blocs (PUBs). → 5. **Analyze** register-aware results, metadata, uncertainty, and resource usage. → 1. Confirm package versions and Python compatibility.",,references/sources.md; references/setup.md; references/migration.md; references/circuits.md; references/primitives.md; references/transpilation.md; references/backends.md; references/patterns.md; references/algorithms.md; references/visualization.md; references/testing.md,"pip install, uv pip, credentials",276,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/qiskit/SKILL.md
qutip,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Simulate and audit closed and open quantum-system models with QuTiP 5, including deterministic, trajectory, steady-state, spectral, and phase-space workflows. Use for local quantum-dynamics work where physical assumptions, dimensions, and numerical convergence must be explicit.","1. **Units and convention.** QuTiP equations normally set \(\hbar=1\). → 2. **Subsystem order.** `tensor(A, B, C)` fixes subsystem indices `0, 1, 2`. → 3. **State validity.** Check ket norm or density-matrix Hermiticity, unit trace, → 4. **Generator meaning.** A Lindblad channel with rate `gamma` is represented → 5. **Approximations.** State rotating-wave, Born-Markov, secular, weak-coupling, → 6. **Numerics.** Justify Hilbert truncation, output grid, integration method,",,,"pip install, uv pip, credentials",334,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/qutip/SKILL.md
simpy,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Build, inspect, test, and analyze bounded process-based discrete-event simulations with SimPy, including events, resources, interrupts, monitoring, replications, warm-up, and reproducible output analysis.","1. **Define purpose and estimands.** State the decision/question, system boundary, → 2. **Write a conceptual model first.** Record assumptions, distributions, → 3. **Implement generators.** A SimPy process is an event-yielding Python generator. → 4. **Bound execution.** Give every production run explicit time, entity, event, and → 5. **Separate random streams.** Use local RNG instances for logically distinct → 6. **Instrument deliberately.** Observe state after the transition of interest,",,,"pip install, uv pip",300,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/simpy/SKILL.md
sympy,Scientific,C 数据分析与专业计算,物理、地理、材料与量子,专业模块/适配后端,仅评估，继续排除发布,等待单独许可复核；不会因被其他技能提及就加入发布包，也不删除用户独立安装的版本。,不分发·许可待复核,"Use when you need exact symbolic math in Python — algebra, calculus, equation solving, symbolic linear algebra, or code generation via lambdify/LaTeX. Prefer NumPy or SciPy when floating-point approximations are sufficient.","1. **Symbolic computation basics** — symbols, expressions, simplification, substitution. → 2. **Calculus** — differentiation, integration, limits, series. → 3. **Equation solving** — `solve`, `solveset`, linear and nonlinear systems, ODEs. → 4. **Matrices and linear algebra** — see → 5. **Physics and mechanics** — see → 6. **Advanced mathematics** — see",matplotlib,references/core_capabilities.md; references/matrices-linear-algebra.md; references/physics-mechanics.md; references/advanced-topics.md; references/code-generation-printing.md; references/core-capabilities.md,"pip install, uv pip",371,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/sympy/SKILL.md
pymc,Scientific,C 数据分析与专业计算,统计建模与不确定性,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Bayesian modeling with PyMC. Build hierarchical models, MCMC (NUTS), variational inference, LOO/WAIC comparison, posterior checks, for probabilistic programming and inference.","1. **Data preparation** — including standardizing predictors so priors are interpretable. → 2. **Model building** — priors and likelihood in a `pm.Model` context. → 3. **Prior predictive check** — confirm the priors imply plausible data *before* fitting. → 4. **Fit model** — `pm.sample()` with an explicit seed. → 5. **Check diagnostics** — R-hat, ESS, divergences. Divergences invalidate the fit; fix → 6. **Posterior predictive check** — does the fitted model reproduce the observed data?",,references/standard_workflow.md; references/model_patterns.md,"pip install, uv pip, parallel",327,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pymc/SKILL.md
statistical-analysis,Scientific,C 数据分析与专业计算,统计建模与不确定性,任务编排/专用合同,保留分析主流程,检验选择、假设检查、效应量与报告；与 power/design/reporting 共享入口但不混阶段。,分发,"Guided statistical analysis for research data - test selection, assumption checking, effect sizes, power analysis, Bayesian alternatives, and APA-formatted reporting. Use whenever a user wants to compare groups, test a hypothesis, analyze experimental or survey data, check statistical assumptions, compute required sample sizes, or write up results - even if they never name a specific test. Covers t-tests, ANOVA, chi-square, correlation, regression, non-parametric and Bayesian methods. For low-le","1. **Frame the question before touching the data.** State the hypothesis, the outcome and predictor variables, and the design (independent vs. paired, number of groups). Commit to a planned test now — choosing the test after peeking at results is p-hacking, even when done innocently. → 2. **Inspect the data.** Per group: n, mean, SD, median, missing values. Plot the raw data (histograms or box plots) before any test. Unequal group sizes, missingness, floor/ceiling effects, and outliers all change what test is appropriate — surface them to the user rather than silently working around them. → 3. **Select the test** using the quick reference below, or `references/test_selection_guide.md` for designs beyond the basics (counts, time-to-event, reliability, factorial). → 4. **Check assumptions** with `scripts/assumption_checks.py`. If an assumption fails, switch to the remedial test (table below) and report both the plan and the change. → 5. **Run the test** and always compute the effect size alongside it — a p-value says an effect exists; the effect size says whether anyone should care. → 6. **Report** using the APA templates below, including descriptives, exact statistics, effect sizes ","statsmodels, matplotlib, seaborn, pymc",,"pip install, uv pip",463,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/statistical-analysis/SKILL.md
statsmodels,Scientific,C 数据分析与专业计算,统计建模与不确定性,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Statistical models library for Python. Use when you need specific model classes (OLS, GLM, mixed models, ARIMA) with detailed diagnostics, residuals, and inference. Best for econometrics, time series, rigorous inference with coefficient tables. For guided statistical test selection with APA reporting use statistical-analysis.","1. **Always add constant**: Use `sm.add_constant()` unless excluding intercept → 2. **Check for missing values**: Handle or impute before fitting → 3. **Scale if needed**: Improves convergence, interpretation (but not required for tree models) → 4. **Encode categoricals**: Use formula API or manual dummy coding → 1. **Start simple**: Begin with basic model, add complexity as needed → 2. **Check assumptions**: Test residuals, heteroskedasticity, autocorrelation",scikit-learn,references/quick_start_guide.md; references/modeling_capabilities.md; references/model_selection.md; references/linear_models.md; references/glm.md; references/discrete_choice.md; references/time_series.md; references/stats_diagnostics.md,"pip install, uv pip",255,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/statsmodels/SKILL.md
uncertainty-and-units,Scientific,C 数据分析与专业计算,统计建模与不确定性,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Track physical units and propagate measurement uncertainty in scientific calculations using pint and uncertainties. Use for unit conversion and dimensional checking, GUM uncertainty budgets, Type A and Type B evaluation, coverage factors and expanded uncertainty, Monte Carlo propagation, significant-figure and plus-minus reporting, error propagation through curve fits, CODATA constants, auditing Python code for stripped units or broken uncertainty propagation, and order-of-magnitude plausibility","1. **Attach units at input and strip them only at output.** Convert at function → 2. **Write the measurement model explicitly** before computing anything, including → 3. **Give every input four things**: an estimate, a standard uncertainty, the → 4. **Convert Type B statements with the right divisor.** A certificate's expanded → 5. **Identify correlations before combining.** Inputs calibrated against the same → 6. **Compute sensitivity coefficients**, and read the budget from `c_i * u(x_i)` rather","statistical-analysis, statistical-power, experimental-design, pdf",,"pip install, uv pip",401,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/uncertainty-and-units/SKILL.md
matchms,Scientific,C 数据分析与专业计算,质谱与蛋白组,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Process, clean, compare, and search tandem mass spectra with matchms. Use for MS/MS file I/O, metadata harmonization, peak filtering, spectral similarity, library matching, score matrices, and molecular-similarity networks. Use pyopenms instead for LC-MS feature detection or proteomics pipelines.","1. **Inspect the inputs.** Record format, spectrum count, MS level, precursor → 2. **Load with metadata harmonization enabled** unless preserving source keys is → 3. **Apply the same peak-processing steps** to query and reference spectra. → 4. **Drop invalid spectra explicitly.** Many `require_*` filters return `None`. → 5. **Choose the score from the scientific question**, not from convenience. → 6. **Estimate `len(references) * len(queries)` before scoring.** A sparse result",pyopenms,,"pip install, uv pip, credentials",292,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/matchms/SKILL.md
pyopenms,Scientific,C 数据分析与专业计算,质谱与蛋白组,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Complete mass spectrometry analysis platform. Use for proteomics and metabolomics workflows—feature detection, peptide/protein identification, label-free and isobaric quantification, adduct/accurate-mass annotation, and complex LC-MS/MS pipelines. Supports extensive file formats and algorithms. For simple spectral comparison and small-molecule library matching use matchms.",PyOpenMS → Overview → Installation → Scripts (start here) → Inspect & convert → Feature detection & quantification → Annotation → Identification,scikit-learn,,"pip install, uv pip",196,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pyopenms/SKILL.md
anndata,Scientific,C 数据分析与专业计算,转录组与单细胞,专业模块/适配后端,保留数据结构依赖,数据容器/I/O职责不能被 scanpy 或 scvi-tools 的算法职责替代。,分发,Data structure for annotated matrices in single-cell analysis. Use when working with .h5ad files or integrating with the scverse ecosystem. This is the data format skill—for analysis workflows use scanpy; for probabilistic models use scvi-tools; for population-scale queries use cellxgene-census.,AnnData → Overview → When to Use This Skill → Installation → Quick Start → Creating an AnnData object → Reading data → Writing data,"scanpy, scvi-tools, dask",,"pip install, uv pip",447,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/anndata/SKILL.md
arboreto,Scientific,C 数据分析与专业计算,转录组与单细胞,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Infer gene regulatory networks (GRNs) from gene expression data using scalable algorithms (GRNBoost2, GENIE3). Use when analyzing transcriptomics data (bulk RNA-seq, single-cell RNA-seq) to identify transcription factor-target gene relationships and regulatory interactions. Supports distributed computation for large-scale datasets.",Arboreto → Overview → Quick Start → Core Capabilities → 1. Basic GRN Inference → 2. Algorithm Selection → 3. Distributed Computing → Installation,"dask, scikit-learn",,"pip install, uv pip, parallel",283,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/arboreto/SKILL.md
bulk-rnaseq,Scientific,C 数据分析与专业计算,转录组与单细胞,任务编排/专用合同,保留领域主流程,从 FASTQ 或已有 counts 的实际阶段进入；DE/enrichment/绘图为有条件的后续模块。,分发,"End-to-end bulk RNA-seq orchestrator — takes raw FASTQ reads through QC and trimming (FastQC, fastp/Trim Galore), alignment and quantification (STAR, Salmon, featureCounts), assembles a gene-level counts matrix, then hands off to differential expression (pydeseq2), pathway/GSEA enrichment (pathway-enrichment), and publication figures (scientific-visualization). Use whenever the user has bulk RNA-seq reads or quant output and wants a complete, reproducible differential-expression workflow — e.g. ","## Stage-by-Stage Workflow → 1. **Design & sample sheet.** Confirm ≥3 biological replicates per group, identify batch/confounders, and choose the comparison(s). Build the samplesheet and validate it with `scripts/validate_samplesheet.py`. Rationale and rules: `references/design-and-qc.md`. → 2. **Raw-read QC.** FastQC per file; aggregate with MultiQC. Check per-base quality, adapter content, duplication, and over-representation. Thresholds: `references/design-and-qc.md`. → 3. **Trimming.** Remove adapters and low-quality tails (via `fastp` or `Trim Galore`). Re-run FastQC to confirm. Recipes: `references/upstream-manual.md` (Path A does this for you). → 4. **Align / quantify.** STAR (genome alignment + `--quantMode GeneCounts`) and/or Salmon (transcript quasi-mapping, decoy-aware). Determine strandedness — it is easy to get wrong and silently halves your counts. Detail: `references/upstream-manual.md`; pipeline params: `references/upstream-nfcore.md`. → 5. **Build the counts matrix.** Turn quant output into a gene × sample integer matrix and a metadata template (`scripts/build_counts_matrix.py`). The estimated-count and gene-ID-mapping nuances live in `references/counts-and-handoff","pydeseq2, pathway-enrichment, scanpy, nextflow, scientific-visualization, matplotlib, gget, database-lookup, biopython, pysam, seaborn, scientific-writing, statistical-analysis",,"pip install, uv pip, Docker, docker",215,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/bulk-rnaseq/SKILL.md
cellxgene-census,Scientific,C 数据分析与专业计算,转录组与单细胞,专业模块/适配后端,折叠入口，保留专业实现,按数据类型、方法、库版本与任务阶段选择；同领域不等于可替代，不融合不同算法/文件格式的执行代码。,分发,"Query the CZ CELLxGENE Census programmatically for versioned public single-cell and spatial transcriptomics data. Use when you need population-scale cell metadata, gene expression slices, Census summary counts, source H5AD URIs/downloads, embeddings, spatial Census data, or reference atlas comparisons across organisms, tissues, diseases, assays, and cell types. For analyzing your own local single-cell data use scanpy, anndata, or scvi-tools.","1. **Opening the Census** — always pin `census_version` so an analysis stays reproducible. → 2. **Exploring Census information** — available datasets, cell counts, and summary tables. → 3. **Querying expression data** — small to medium scale into an `AnnData`. → 4. **Large-scale queries** — out-of-core processing when the slice will not fit in memory. → 5. **Machine learning with PyTorch** — the Census data loaders. → 6. **Spatial Census data** — accessing spatial assays.","scanpy, anndata",references/core_workflow_patterns.md,"pip install, uv pip",300,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/cellxgene-census/SKILL.md
pathway-enrichment,Scientific,C 数据分析与专业计算,转录组与单细胞,任务编排/专用合同,保留后续专业模块,基因ID、背景集与 ORA/GSEA 方法选择独立于DE，按任务条件加载。,分发,"Run pathway and gene-set enrichment analysis on gene lists or ranked gene data, then interpret the results. Use whenever the user has a set of genes (differentially expressed genes from PyDESeq2/Scanpy, CRISPR-screen hits, cluster marker genes, proteomics hits) and wants to know which biological pathways, GO terms, or gene sets are over-represented or enriched. Covers over-representation analysis (ORA / Enrichr / Fisher / hypergeometric), ranked Gene Set Enrichment Analysis (GSEA / preranked), s",### Step 1 — Pin down inputs and pick the method → ### Step 2 — Get gene IDs into the right namespace → ### Step 3 — Choose gene-set libraries to match the question → ### Step 4 — Set the background universe (ORA only) → ### Step 5 — Run the analysis → ### Step 6 — Filter on adjusted p-values,"gget, database-lookup, matplotlib, pydeseq2, scanpy, depmap, pytdc, pyopenms, matchms, bioservices, scientific-visualization, networkx, scientific-writing, literature-review, statistical-analysis",,"pip install, uv pip",211,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pathway-enrichment/SKILL.md
pydeseq2,Scientific,C 数据分析与专业计算,转录组与单细胞,任务编排/专用合同,保留统计实现,保留 count 数据、设计矩阵、对比和校正合同；可单独执行，不强制重跑 FASTQ。,分发,"Differential gene expression analysis for bulk RNA-seq with PyDESeq2, including formulaic designs, Wald tests, FDR correction, LFC shrinkage, and result visualization.","1. **Data preparation** — raw integer counts with genes as columns and samples as rows, → 2. **Design specification** — the design factors and the reference level for each. → 3. **DESeq2 fitting** — size factors, dispersions, and the GLM fit. → 4. **Statistical testing** — Wald tests for a named contrast. → 5. **Optional LFC shrinkage** — for ranking and visualization. → 6. **Result export** — the results table with adjusted p-values.","matplotlib, anndata, scikit-learn, seaborn",references/core_workflow_steps.md; references/analysis_patterns.md,"pip install, uv pip",386,https://github.com/K-Dense-AI/scientific-agent-skills/blob/330c8e764435a731eff571e3efdda70b363d0792/skills/pydeseq2/SKILL.md
